locker_code,locker_type,status,area,key
E 101,Large,Free,37,96877
E 102,Large,Free,37,96658
E 103,Large,Free,37,96806
E 104,Large,Free,37,95401
E 105,Large,Free,37,96056
E 106,Large,Free,37,95347
E 107,Large,Free,37,96755
E 108,Large,Free,37,96168
E 109,Large,Free,37,95062
E 110,Large,Free,37,92313
E 111,Large,Free,37,95887
E 112,Large,Free,37,95112
E 113,Large,Free,37,95476
E 114,Large,Free,37,92295
E 115,Large,Free,37,95156
E 116,Large,Free,37,95406
E 117,Large,Free,37,92397
E 118,Large,Free,37,92311
E 119,Large,Free,37,92283
E 120,Large,Free,37,92232
E 121,Large,Free,37,96247
E 122,Large,Free,37,96866
E 123,Large,Free,37,95049
E 124,Large,Free,37,95036
E 125,Large,Free,37,96093
E 126,Large,Free,37,95239
E 127,Large,Free,37,92216
E 128,Large,Free,37,
E 129,Large,Free,37,95279
E 130,Large,Free,37,96252
E 131,Large,Free,37,96400
E 132,Large,Free,37,95227
E 133,Large,Free,37,92305
E 134,Large,Free,37,
E 135,Large,Free,37,92570
E 136,Large,Free,37,96186
E 137,Large,Free,37,96878
E 138,Large,Free,37,95883
E 139,Large,Free,37,96578
E 140,Large,Free,37,95276
E 141,Large,Free,37,92302
E 142,Large,Free,37,96145
E 143,Large,Free,37,95162
E 144,Large,Free,37,96491
E 145,Large,Free,37,96273
E 146,Large,Free,37,95078
E 147,Large,Free,37,92335
E 148,Large,Free,37,96376
E 149,Large,Free,37,92344
E 150,Large,Free,37,95025
E 151,Large,Free,37,96237
E 152,Large,Free,37,96229
E 153,Large,Free,37,96493
E 154,Large,Free,37,92273
E 155,Large,Free,37,96283
E 156,Large,Free,37,96368
E 157,Large,Free,37,92290
E 158,Large,Free,37,92381
E 159,Large,Free,37,92226
E 160,Large,Free,37,96330
E 161,Large,Free,37,92350
E 162,Large,Free,37,96404
E 163,Large,Free,37,96301
E 164,Large,Free,37,92354
E 165,Large,Free,37,96535
E 166,Large,Free,37,95933
E 167,Large,Free,37,92335
E 168,Large,Free,37,92292
E 169,Large,Free,37,96107
E 170,Large,Free,37,96033
E 171,Large,Free,37,96124
E 172,Large,Free,37,96289
E 173,Large,Free,37,92391
E 174,Large,Free,37,92264
E 175,Large,Free,37,92367
E 176,Large,Free,37,96192
E 177,Large,Free,37,95306
E 178,Large,Free,37,92340
E 179,Large,Free,37,95257
E 180,Large,Free,37,95973
E 181,Large,Free,37,95104
E 182,Large,Free,37,96907
E 183,Large,Free,37,95134
E 184,Large,Free,37,92286
E 185,Large,Free,37,96263
E 186,Large,Free,37,96157
E 187,Large,Free,37,96083
E 188,Large,Free,37,96125
E 189,Large,Free,37,92211
E 190,Large,Free,37,92274
E 191,Large,Free,37,95468
E 192,Large,Free,37,92225
E 193,Large,Free,37,92321
E 194,Large,Free,37,92225
E 195,Large,Free,37,92211
E 196,Large,Free,37,95457
E 197,Large,Free,37,95286
E 198,Large,Free,37,95280
E 199,Large,Free,37,92206
E 200,Large,Free,37,92373
E 201,Large,Free,37,96335
E 202,Large,Free,37,92223
E 203,Large,Free,37,92342
E 204,Large,Free,37,92295
E 205,Large,Free,37,92337
E 206,Large,Free,37,92206
E 207,Large,Free,37,96060
E 208,Large,Free,37,92269
E 209,Large,Free,37,95108
E 210,Large,Free,37,92266
E 211,Large,Free,37,92253
E 212,Large,Free,37,92245
E 213,Large,Free,37,95767
E 214,Large,Free,37,92291
E 215,Large,Free,37,95097
E 216,Large,Free,37,96583
E 217,Large,Free,37,96310
E 218,Large,Free,37,96215
E 219,Large,Free,37,96415
E 220,Large,Free,37,92303
E 221,Large,Free,37,92263
E 222,Large,Free,37,92229
E 223,Large,Free,37,92202
E 224,Large,Free,37,95373
E 225,Large,Free,37,95212
E 226,Large,Free,37,95491
E 227,Large,Free,37,96379
E 228,Large,Free,37,96441
E 229,Large,Free,37,96460
E 230,Large,Free,37,96173
E 231,Large,Free,37,96744
E 232,Large,Free,37,92272
E 233,Large,Free,37,96014
E 234,Large,Free,37,92261
E 235,Large,Free,37,96051
E 236,Large,Free,37,92352
